Team A,Team A Overall,Team A Foil,Team A Epee,Team A Saber,Team B,Team B Overall,Team B Foil,Team B Epee,Team B Saber,Date,Host
cornell,18,7,2,9,incarnateword,9,2,7,0,2024-02-03,northwestern
AirForce,18,3,6,9,pennstate,9,6,3,0,2024-02-03,northwestern
stanford,16,6,7,3,temple,11,3,2,6,2024-02-03,northwestern
brandeis,14,2,4,8,wellesley,13,7,5,1,2024-01-30,brandeis
upenn,14,5,5,4,stjohns,13,4,4,5,2024-01-28,liu
princeton,22,6,7,9,liu,5,3,2,0,2024-01-28,liu
columbia,14,6,4,4,princeton,13,3,5,5,2024-01-28,liu
upenn,23,7,7,9,liu,4,2,2,0,2024-01-28,liu
upenn,14,5,4,5,princeton,13,4,5,4,2024-01-28,liu
columbia,18,8,4,6,stjohns,9,1,5,3,2024-01-28,liu
columbia,24,9,7,8,liu,3,0,2,1,2024-01-28,liu
stjohns,16,5,8,3,princeton,11,4,1,6,2024-01-28,liu
stjohns,21,5,7,9,liu,6,4,2,0,2024-01-28,liu
harvard,23,9,8,6,nyu,4,0,1,3,2024-01-28,harvard
yale,22,9,8,5,shu,5,0,1,4,2024-01-27,yale
yale,27,9,9,9,vassar,0,0,0,0,2024-01-27,yale
waynestate,22,9,9,4,detroitmercy,5,0,0,5,2024-01-27,notredame
lawrence,16,6,4,6,clevelandstate,8,0,5,3,2024-01-27,notredame
denison,16,9,2,5,clevelandstate,11,0,7,4,2024-01-27,notredame
notredame,21,8,4,9,waynestate,6,1,5,0,2024-01-27,notredame
northwestern,27,9,9,9,detroitmercy,0,0,0,0,2024-01-27,northwestern
denison,15,8,3,4,lawrence,12,1,6,5,2024-01-27,notredame
waynestate,20,9,7,4,clevelandstate,6,0,2,4,2024-01-27,notredame
notredame,25,9,7,9,lawrence,2,0,2,0,2024-01-27,notredame
clevelandstate,15,0,9,6,detroitmercy,3,0,0,3,2024-01-27,notredame
northwestern,24,7,8,9,denison,3,2,1,0,2024-01-27,notredame
northwestern,27,9,9,9,clevelandstate,0,0,0,0,2024-01-27,notredame
denison,15,5,1,9,waynestate,12,4,8,0,2024-01-27,notredame
notredame,27,9,9,9,detroitmercy,0,0,0,0,2024-01-27,notredame
denison,24,9,8,7,detroitmercy,3,0,1,2,2024-01-27,notredame
waynestate,15,7,8,0,lawrence,12,2,1,9,2024-01-27,notredame
northwestern,15,4,6,5,notredame,12,5,3,4,2024-01-27,notredame
northwestern,20,6,5,9,waynestate,7,3,4,0,2024-01-27,notredame
notredame,22,8,7,7,denison,5,1,2,2,2024-01-27,notredame
lawrence,21,6,8,7,detroitmercy,3,0,1,2,2024-01-27,notredame
notredame,22,9,5,8,clevelandstate,5,0,4,1,2024-01-27,notredame
northwestern,25,8,8,9,lawrence,2,1,1,0,2024-01-27,notredame
