Team A,Team A Overall,Team A Foil,Team A Epee,Team A Saber,Team B,Team B Overall,Team B Foil,Team B Epee,Team B Saber,Date,Host
bostoncollege,16,7,2,7,stjohns,11,2,7,2,2023-12-03,brandeis
brandeis,22,9,6,7,liu,5,0,3,2,2023-12-03,brandeis
drew,18,8,7,3,lawrence,9,1,2,6,2023-12-03,brandeis
unc,17,5,7,5,AirForce,10,4,2,4,2023-11-19,ohiostate
duke,17,6,5,6,stanford,10,3,4,3,2023-11-19,ohiostate
princeton,19,8,5,6,ohiostate,8,1,4,3,2023-11-19,ohiostate
duke,20,8,5,7,clevelandstate,7,1,4,2,2023-11-19,ohiostate
unc,14,7,4,3,stanford,13,2,5,6,2023-11-19,ohiostate
upenn,15,6,6,3,notredame,12,3,3,6,2023-11-19,ohiostate
ohiostate,14,6,3,5,AirForce,13,3,6,4,2023-11-19,ohiostate
unc,20,7,5,8,clevelandstate,7,2,4,1,2023-11-19,ohiostate
notredame,16,4,7,5,princeton,11,5,2,4,2023-11-19,ohiostate
ohiostate,18,6,8,4,duke,9,3,1,5,2023-11-19,ohiostate
upenn,16,8,3,5,stanford,11,1,6,4,2023-11-19,ohiostate
notredame,21,7,7,7,AirForce,6,2,2,2,2023-11-19,ohiostate
ohiostate,14,3,6,5,upenn,13,6,3,4,2023-11-19,ohiostate
princeton,15,5,4,6,duke,12,4,5,3,2023-11-19,ohiostate
stanford,23,8,8,7,clevelandstate,4,1,1,2,2023-11-19,ohiostate
notredame,16,5,4,7,ohiostate,11,4,5,2,2023-11-19,ohiostate
princeton,18,7,5,6,unc,9,2,4,3,2023-11-19,ohiostate
upenn,16,5,5,6,AirForce,11,4,4,3,2023-11-19,ohiostate
notredame,18,6,5,7,duke,9,3,4,2,2023-11-19,ohiostate
ohiostate,21,9,5,7,clevelandstate,6,0,4,2,2023-11-19,ohiostate
princeton,16,5,6,5,AirForce,11,4,3,4,2023-11-19,ohiostate
AirForce,22,8,6,8,clevelandstate,5,1,3,1,2023-11-19,ohiostate
